borrower_id,income_band,annual_income,employment_type,years_employed,credit_grade,credit_score,region,age
B000001,Upper-Middle,1416057,Salaried,0,E,516,North,51
B000002,Lower-Middle,373689,Business Owner,17,B,788,South,34
B000003,Upper-Middle,1534494,Unemployed,3,C,689,East,54
B000004,Middle,711639,Salaried,2,A,849,East,41
B000005,Low,171887,Freelancer,6,C,589,Central,59
B000006,High,2591993,Business Owner,22,E,507,South,42
B000007,Upper-Middle,1667912,Freelancer,19,F,459,East,49
B000008,Upper-Middle,1333013,Salaried,8,D,561,North,45
B000009,Low,294521,Salaried,28,C,669,North,63
B000010,Middle,614875,Salaried,28,E,534,East,59
B000011,Lower-Middle,305502,Business Owner,3,D,593,South,40
B000012,High,3771822,Freelancer,0,C,682,West,52
B000013,Middle,676834,Salaried,28,C,660,Central,30
B000014,Upper-Middle,1173172,Salaried,16,D,587,North,58
B000015,Lower-Middle,534559,Salaried,24,C,675,North,48
B000016,Lower-Middle,354228,Self-Employed,21,D,590,East,38
B000017,Middle,845720,Freelancer,25,A,821,North,60
B000018,Low,156709,Salaried,12,D,640,South,54
B000019,Upper-Middle,1700720,Self-Employed,13,D,580,West,28
B000020,Middle,828316,Self-Employed,28,C,645,North,63
B000021,Upper-Middle,1359217,Freelancer,19,C,652,West,33
B000022,Lower-Middle,408911,Business Owner,8,D,552,North,24
B000023,High,2487698,Salaried,13,D,574,West,36
B000024,Upper-Middle,1211300,Self-Employed,0,B,752,West,40
B000025,Upper-Middle,1780132,Business Owner,29,C,695,North,24
B000026,Lower-Middle,391539,Freelancer,20,A,818,East,47
B000027,Middle,695066,Self-Employed,15,C,635,East,40
B000028,Low,218680,Salaried,15,D,530,Central,46
B000029,Low,188613,Self-Employed,29,C,679,North,42
B000030,Middle,708613,Self-Employed,18,C,687,West,43
B000031,Upper-Middle,1212303,Salaried,5,C,585,East,27
B000032,High,2103254,Unemployed,16,C,680,Central,57
B000033,Lower-Middle,566064,Salaried,1,A,832,West,48
B000034,Lower-Middle,355254,Freelancer,21,G,336,South,30
B000035,Middle,608759,Salaried,21,D,628,North,25
B000036,Lower-Middle,533281,Salaried,14,D,537,East,63
B000037,Low,217733,Self-Employed,23,B,746,Central,44
B000038,Middle,741663,Self-Employed,2,F,426,East,56
B000039,Lower-Middle,459911,Freelancer,2,D,606,East,42
B000040,Middle,822700,Self-Employed,1,C,666,East,33
B000041,Lower-Middle,415466,Salaried,15,E,513,South,33
B000042,Upper-Middle,1681204,Freelancer,0,C,682,Central,22
B000043,Middle,937118,Self-Employed,7,F,425,North,45
B000044,Lower-Middle,409606,Salaried,28,B,786,East,52
B000045,Upper-Middle,1177682,Freelancer,5,E,487,Central,25
B000046,Upper-Middle,1389179,Salaried,28,G,331,South,22
B000047,Lower-Middle,346858,Salaried,23,D,577,East,28
B000048,Lower-Middle,384696,Self-Employed,11,F,422,West,42
B000049,Middle,753264,Self-Employed,21,A,831,North,43
B000050,Low,207425,Salaried,20,D,591,South,46
