payment_record_id,loan_id,snapshot_date,days_past_due,delinquent_flag
P0000001,L000001,2024-05-02,32,0
P0000002,L000001,2024-06-01,64,0
P0000003,L000001,2024-07-01,85,0
P0000004,L000001,2024-07-31,102,1
P0000005,L000001,2024-08-30,133,1
P0000006,L000003,2021-09-05,0,0
P0000007,L000003,2021-10-05,10,0
P0000008,L000006,2023-01-22,4,0
P0000009,L000006,2023-02-21,14,0
P0000010,L000006,2023-03-23,0,0
P0000011,L000007,2025-07-15,0,0
P0000012,L000007,2025-08-14,0,0
P0000013,L000008,2025-09-02,0,0
P0000014,L000008,2025-10-02,0,0
P0000015,L000008,2025-11-01,5,0
P0000016,L000010,2021-07-29,10,0
P0000017,L000010,2021-08-28,0,0
P0000018,L000010,2021-09-27,7,0
P0000019,L000011,2023-04-16,10,0
P0000020,L000013,2025-05-23,37,0
P0000021,L000013,2025-06-22,77,0
P0000022,L000013,2025-07-22,102,1
P0000023,L000013,2025-08-21,140,1
P0000024,L000013,2025-09-20,155,1
P0000025,L000013,2025-10-20,180,1
P0000026,L000013,2025-11-19,180,1
P0000027,L000014,2022-05-04,44,0
P0000028,L000014,2022-06-03,72,0
P0000029,L000014,2022-07-03,99,1
P0000030,L000014,2022-08-02,133,1
P0000031,L000014,2022-09-01,170,1
P0000032,L000017,2025-11-23,19,0
P0000033,L000017,2025-12-23,46,0
P0000034,L000017,2026-01-22,83,0
P0000035,L000017,2026-02-21,109,1
P0000036,L000017,2026-03-23,125,1
P0000037,L000019,2023-08-11,10,0
P0000038,L000020,2025-06-11,31,0
P0000039,L000020,2025-07-11,60,0
P0000040,L000020,2025-08-10,104,1
P0000041,L000021,2021-09-21,19,0
P0000042,L000021,2021-10-21,0,0
P0000043,L000022,2024-08-25,40,0
P0000044,L000022,2024-09-24,74,0
P0000045,L000022,2024-10-24,105,1
P0000046,L000023,2023-03-19,29,0
P0000047,L000023,2023-04-18,61,0
P0000048,L000023,2023-05-18,104,1
P0000049,L000023,2023-06-17,124,1
P0000050,L000023,2023-07-17,145,1
P0000051,L000023,2023-08-16,180,1
P0000052,L000024,2025-10-27,29,0
P0000053,L000024,2025-11-26,55,0
P0000054,L000024,2025-12-26,72,0
P0000055,L000024,2026-01-25,103,1
P0000056,L000024,2026-02-24,137,1
P0000057,L000024,2026-03-26,176,1
P0000058,L000024,2026-04-25,180,1
P0000059,L000026,2023-04-24,19,0
P0000060,L000027,2026-01-03,0,0
P0000061,L000030,2025-09-08,43,0
P0000062,L000030,2025-10-08,80,0
P0000063,L000030,2025-11-07,98,1
P0000064,L000030,2025-12-07,122,1
P0000065,L000033,2024-10-31,10,0
P0000066,L000033,2024-11-30,18,0
P0000067,L000036,2023-08-02,0,0
P0000068,L000038,2024-10-31,0,0
P0000069,L000038,2024-11-30,0,0
P0000070,L000041,2022-01-19,9,0
P0000071,L000042,2025-04-07,12,0
P0000072,L000047,2022-02-03,0,0
P0000073,L000047,2022-03-05,11,0
P0000074,L000048,2025-04-29,0,0
P0000075,L000048,2025-05-29,0,0
P0000076,L000049,2024-12-19,6,0
P0000077,L000049,2025-01-18,0,0
P0000078,L000050,2025-11-15,15,0
P0000079,L000050,2025-12-15,45,0
P0000080,L000050,2026-01-14,66,0
P0000081,L000051,2022-02-28,9,0
P0000082,L000054,2024-10-28,24,0
P0000083,L000054,2024-11-27,55,0
P0000084,L000054,2024-12-27,88,0
P0000085,L000054,2025-01-26,123,1
P0000086,L000054,2025-02-25,152,1
P0000087,L000054,2025-03-27,177,1
P0000088,L000054,2025-04-26,180,1
P0000089,L000054,2025-05-26,180,1
P0000090,L000055,2024-04-20,3,0
P0000091,L000056,2025-07-17,0,0
P0000092,L000056,2025-08-16,13,0
P0000093,L000057,2024-04-05,40,0
P0000094,L000057,2024-05-05,84,0
P0000095,L000057,2024-06-04,123,1
P0000096,L000057,2024-07-04,163,1
P0000097,L000057,2024-08-03,180,1
P0000098,L000057,2024-09-02,180,1
P0000099,L000057,2024-10-02,180,1
P0000100,L000057,2024-11-01,180,1
P0000101,L000058,2025-11-04,7,0
P0000102,L000060,2022-11-25,0,0
P0000103,L000060,2022-12-25,17,0
P0000104,L000062,2023-01-05,16,0
P0000105,L000062,2023-02-04,0,0
P0000106,L000062,2023-03-06,4,0
P0000107,L000066,2022-05-10,4,0
P0000108,L000066,2022-06-09,0,0
P0000109,L000066,2022-07-09,10,0
P0000110,L000067,2022-10-21,0,0
P0000111,L000068,2023-04-12,18,0
P0000112,L000068,2023-05-12,0,0
P0000113,L000069,2021-11-20,0,0
P0000114,L000069,2021-12-20,0,0
P0000115,L000072,2025-11-11,13,0
P0000116,L000074,2023-05-12,16,0
P0000117,L000075,2021-01-31,18,0
P0000118,L000077,2024-09-30,9,0
P0000119,L000079,2025-04-01,9,0
P0000120,L000082,2025-03-03,26,0
P0000121,L000082,2025-04-02,46,0
P0000122,L000082,2025-05-02,73,0
P0000123,L000082,2025-06-01,105,1
P0000124,L000086,2025-06-16,19,0
P0000125,L000086,2025-07-16,14,0
P0000126,L000087,2025-12-06,4,0
P0000127,L000088,2025-09-28,0,0
P0000128,L000088,2025-10-28,15,0
P0000129,L000091,2025-05-08,0,0
P0000130,L000092,2023-01-06,29,0
P0000131,L000092,2023-02-05,61,0
P0000132,L000092,2023-03-07,89,0
P0000133,L000092,2023-04-06,111,1
P0000134,L000092,2023-05-06,129,1
P0000135,L000092,2023-06-05,159,1
P0000136,L000092,2023-07-05,180,1
P0000137,L000092,2023-08-04,180,1
P0000138,L000093,2022-08-20,17,0
P0000139,L000093,2022-09-19,49,0
P0000140,L000093,2022-10-19,64,0
P0000141,L000093,2022-11-18,94,1
P0000142,L000093,2022-12-18,113,1
P0000143,L000095,2021-03-22,0,0
P0000144,L000097,2021-03-13,0,0
P0000145,L000098,2023-11-19,0,0
P0000146,L000098,2023-12-19,4,0
P0000147,L000098,2024-01-18,15,0
P0000148,L000099,2025-05-29,0,0
P0000149,L000101,2024-01-01,18,0
P0000150,L000102,2025-06-06,14,0
P0000151,L000104,2024-01-17,3,0
P0000152,L000107,2023-10-26,14,0
P0000153,L000108,2024-12-10,9,0
P0000154,L000109,2024-09-03,11,0
P0000155,L000111,2025-08-13,0,0
P0000156,L000111,2025-09-12,3,0
P0000157,L000112,2025-10-02,11,0
P0000158,L000113,2025-06-16,9,0
P0000159,L000114,2021-11-03,1,0
P0000160,L000115,2021-03-30,14,0
P0000161,L000115,2021-04-29,0,0
P0000162,L000115,2021-05-29,13,0
P0000163,L000116,2025-08-08,4,0
P0000164,L000118,2025-03-12,0,0
P0000165,L000119,2026-01-02,11,0
P0000166,L000120,2022-09-04,8,0
P0000167,L000120,2022-10-04,3,0
P0000168,L000120,2022-11-03,0,0
P0000169,L000121,2024-08-27,26,0
P0000170,L000121,2024-09-26,69,0
P0000171,L000121,2024-10-26,99,1
P0000172,L000121,2024-11-25,127,1
P0000173,L000121,2024-12-25,153,1
