loan_id,borrower_id,loan_amount,term_months,interest_rate,benchmark_rate,purpose,origination_date,status,default_flag,interest_spread
L000001,B011518,221900,36,10.58,6.93,Business,2024-04-02,Default,1,3.65
L000002,B000586,357600,48,11.41,7.28,Business,2024-09-10,Closed,0,4.13
L000003,B001035,135600,24,15.82,4.63,Home Improvement,2021-08-06,Active,0,11.19
L000004,B005283,1071100,36,9.37,6.83,Personal,2025-11-13,Closed,0,2.54
L000005,B005806,109300,24,15.45,6.38,Debt Consolidation,2022-12-06,Closed,0,9.07
L000006,B012163,79600,60,17.79,6.08,Business,2022-12-23,Active,0,11.71
L000007,B007592,875800,24,18.93,6.87,Auto,2025-06-15,Closed,0,12.06
L000008,B008170,95300,24,7.98,7.21,Personal,2025-08-03,Active,0,0.77
L000009,B004376,98600,12,11.36,6.96,Debt Consolidation,2024-02-11,Closed,0,4.4
L000010,B011320,99800,24,17.33,4.52,Education,2021-06-29,Closed,0,12.81
L000011,B001642,101700,12,10.13,6.95,Education,2023-03-17,Active,0,3.18
L000012,B015540,521500,24,16.87,7.01,Debt Consolidation,2023-09-05,Active,0,9.86
L000013,B005337,520600,24,15.22,6.89,Debt Consolidation,2025-04-23,Default,1,8.33
L000014,B015949,276800,36,10.41,5.59,Debt Consolidation,2022-04-04,Default,1,4.82
L000015,B011844,346100,36,13.99,6.94,Debt Consolidation,2024-02-05,Closed,0,7.05
L000016,B008017,278800,48,10.13,5.7,Debt Consolidation,2022-06-07,Closed,0,4.43
L000017,B014721,563900,36,16.81,6.98,Home Improvement,2025-10-24,Default,1,9.83
L000018,B014154,58600,24,17.16,5.21,Debt Consolidation,2022-03-26,Closed,0,11.95
L000019,B009186,1213500,36,11.35,7.1,Auto,2023-07-12,Active,0,4.25
L000020,B012585,250100,24,16.64,7.32,Personal,2025-05-12,Default,1,9.32
L000021,B005561,882100,48,15.97,4.45,Education,2021-08-22,Closed,0,11.52
L000022,B015581,87200,12,7.76,7.2,Personal,2024-07-26,Default,1,0.56
